Ticker,nb_actions_actuel
ABJC,10912000
BICB,57759800
BICC,16666670
BNBC,6624000
BOAB,40561048
BOABF,44000000
BOAC,40000000
BOAM,27450000
BOAN,20800000
BOAS,36000000
CABC,5920000
CBIBF,32000000
CFAC,181371900
CIEC,56000000
ECOC,55050600
ETIT,18084106722
FTSC,14103740
LNBB,20000000
NEIC,12765825
NSBC,24734572
NTLC,22070400
ONTBF,68000000
ORAC,150655350
ORGT,69415031
PALC,15459316
PRSC,10240000
SAFC,8119750
SCRC,19600000
SDCC,9000000
SDSC,54435300
SGBC,31111110
SHEC,63000000
SIBC,100000000
SICC,600000
SIVC,8734000
SLBC,16460840
SMBC,7795200
SNTS,100000000
SOGC,21601840
SPHC,25558005
STAC,13440000
STBC,17955000
TTLC,62961600
TTLS,32577700
UNLC,9183400
UNXC,20750000
SEMC,25189600
SVOC,835625
